Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C1_5, C1_4, C1_3, C1_2, C1, C2_5, C2_4, C2_3, C2_2, C2, C20_5, C20_4, C20_3, C20_2, C20, C21_5, C21_4, C21_3, C21_2, C21, C22_5, C22_4, C22_3, C22_2, C22, C5_5, C5_4, C5_3, C5_2, C5, C8_5, C8_4, C8_3, C8_2, C8",0402,35,C_0402_4.7uF_10V_X5R,
"C11_5, C11_4, C11_3, C11_2, C11, C12_5, C12_4, C12_3, C12_2, C12, C14_5, C14_4, C14_3, C14_2, C14, C15_5, C15_4, C15_3, C15_2, C15, C18_5, C18_4, C18_3, C18_2, C18, C19_5, C19_4, C19_3, C19_2, C19, C6_5, C6_4, C6_3, C6_2, C6, C7_5, C7_4, C7_3, C7_2, C7",0402,40,C_0402_100nF_10V_X7R,
"C13_5, C13_4, C13_3, C13_2, C13, C16_5, C16_4, C16_3, C16_2, C16",0402,10,C_0402_15pF_50V_C0G,
"C3_5, C3_4, C3_3, C3_2, C3",0402,5,C_0402_1uF_10V_X5R,
"C4_5, C4_4, C4_3, C4_2, C4",0402,5,C_0402_1pF_50V_C0G,
"D1_5, D1_4, D1_3, D1_2, D1, D2_5, D2_4, D2_3, D2_2, D2",0402,10,TPESD0402G05V,
"D3_5, D3_4, D3_3, D3_2, D3",0603,5,NCD0603B1,
"F1_5, F1_4, F1_3, F1_2, F1",0402,5,BSMD0402L-020,
"J1_5, J1_4, J1_3, J1_2, J1",GT-USB-8016A,5,GT-USB-8016A,
"L1_5, L1_4, L1_3, L1_2, L1",LT_L0806,5,AOTA-B201610S3R3-101-T,
"R1_5, R1_4, R1_3, R1_2, R1",0402,5,R_0402_5.1K_5%,
"R10_5, R10_4, R10_3, R10_2, R10",0402,5,R_0402_33_5%,
"R2_5, R2_4, R2_3, R2_2, R2, R3_5, R3_4, R3_3, R3_2, R3, R4_5, R4_4, R4_3, R4_2, R4",0402,15,R_0402_27_5%,
"R5_5, R5_4, R5_3, R5_2, R5, R6_5, R6_4, R6_3, R6_2, R6",0402,10,R_0402_1K_5%,
"R7_5, R7_4, R7_3, R7_2, R7",0402,5,R_0402_470_5%,
"U1_5, U1_4, U1_3, U1_2, U1",USON8-2x3mm-EP0.2x1.6mm,5,ZD25WQ32CEIGR,
"U2_5, U2_4, U2_3, U2_2, U2",RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,5,RP2350A-QFN60,
"U4_5, U4_4, U4_3, U4_2, U4",SOT-23-6,5,TTP223_SOT23-6,
"U5_5, U5_4, U5_3, U5_2, U5",SOT-23,5,662K,
"Y1_5, Y1_4, Y1_3, Y1_2, Y1",Crystal_SMD_2520-4Pin_2.5x2.0mm,5,ABM8-272-T3,
