Designator,Mid X,Mid Y,Rotation,Layer
_2,39.0,45.15,0.0,top
,-24.0,45.15,0.0,top
C1_5,35.7,12.45,90.0,top
C1_4,-9.3,12.45,90.0,top
C1_3,5.7,12.45,90.0,top
C1_2,-24.3,12.45,90.0,top
C1,20.7,12.45,90.0,top
C11_5,-28.0,23.6,90.0,top
C11_4,17.0,23.6,90.0,top
C11_3,32.0,23.6,90.0,top
C11_2,2.0,23.6,90.0,top
C11,-13.0,23.6,90.0,top
C12_5,13.1,23.35,90.0,top
C12_4,43.1,23.35,90.0,top
C12_3,28.1,23.35,90.0,top
C12_2,-16.9,23.35,90.0,top
C12,-1.9,23.35,90.0,top
C13_5,11.25,26.4,90.0,top
C13_4,41.25,26.4,90.0,top
C13_3,26.25,26.4,90.0,top
C13_2,-3.75,26.4,90.0,top
C13,-18.75,26.4,90.0,top
C14_5,-16.9,16.98,270.0,top
C14_4,-1.9,16.98,270.0,top
C14_3,28.1,16.98,270.0,top
C14_2,13.1,16.98,270.0,top
C14,43.1,16.98,270.0,top
C15_5,17.0,19.7,270.0,top
C15_4,2.0,19.7,270.0,top
C15_3,-28.0,19.7,270.0,top
C15_2,32.0,19.7,270.0,top
C15,-13.0,19.7,270.0,top
C16_5,-20.8,29.8,0.0,top
C16_4,24.2,29.8,0.0,top
C16_3,39.2,29.8,0.0,top
C16_2,-5.8,29.8,0.0,top
C16,9.2,29.8,0.0,top
C18_5,-16.9,21.35,90.0,top
C18_4,13.1,21.35,90.0,top
C18_3,-1.9,21.35,90.0,top
C18_2,28.1,21.35,90.0,top
C18,43.1,21.35,90.0,top
C19_5,2.0,15.85,270.0,top
C19_4,32.0,15.85,270.0,top
C19_3,-13.0,15.85,270.0,top
C19_2,-28.0,15.85,270.0,top
C19,17.0,15.85,270.0,top
C2_5,-25.05,7.5,180.0,top
C2_4,19.95,7.5,180.0,top
C2_3,4.95,7.5,180.0,top
C2_2,34.95,7.5,180.0,top
C2,-10.05,7.5,180.0,top
C20_5,-12.55,13.8,270.0,top
C20_4,17.45,13.8,270.0,top
C20_3,-27.55,13.8,270.0,top
C20_2,2.45,13.8,270.0,top
C20,32.45,13.8,270.0,top
C21_5,-13.0,25.5,270.0,top
C21_4,17.0,25.5,270.0,top
C21_3,2.0,25.5,270.0,top
C21_2,-28.0,25.5,270.0,top
C21,32.0,25.5,270.0,top
C22_5,20.7,14.35,270.0,top
C22_4,5.7,14.35,270.0,top
C22_3,35.7,14.35,270.0,top
C22_2,-24.3,14.35,270.0,top
C22,-9.3,14.35,270.0,top
C3_5,-3.5,12.05,180.0,top
C3_4,-18.5,12.05,180.0,top
C3_3,41.5,12.05,180.0,top
C3_2,11.5,12.05,180.0,top
C3,26.5,12.05,180.0,top
C4_5,35.1,29.8,0.0,top
C4_4,20.1,29.8,0.0,top
C4_3,-24.9,29.8,0.0,top
C4_2,-9.9,29.8,0.0,top
C4,5.1,29.8,0.0,top
C5_5,-26.8,10.05,90.0,top
C5_4,18.2,10.05,90.0,top
C5_3,3.2,10.05,90.0,top
C5_2,33.2,10.05,90.0,top
C5,-11.8,10.05,90.0,top
C6_5,43.1,18.95,270.0,top
C6_4,-16.9,18.95,270.0,top
C6_3,-1.9,18.95,270.0,top
C6_2,28.1,18.95,270.0,top
C6,13.1,18.95,270.0,top
C7_5,17.0,17.75,270.0,top
C7_4,-13.0,17.75,270.0,top
C7_3,2.0,17.75,270.0,top
C7_2,-28.0,17.75,270.0,top
C7,32.0,17.75,270.0,top
C8_5,37.8,14.3,270.0,top
C8_4,-22.2,14.3,270.0,top
C8_3,-7.2,14.3,270.0,top
C8_2,22.8,14.3,270.0,top
C8,7.8,14.3,270.0,top
D1_5,24.2,12.1,0.0,top
D1_4,9.2,12.1,0.0,top
D1_3,39.2,12.1,0.0,top
D1_2,-20.8,12.1,0.0,top
D1,-5.8,12.1,0.0,top
D2_5,37.2,12.1,0.0,top
D2_4,-7.8,12.1,0.0,top
D2_3,-22.8,12.1,0.0,top
D2_2,7.2,12.1,0.0,top
D2,22.2,12.1,0.0,top
D3_5,7.4,17.45,270.0,bottom
D3_4,-7.6,17.45,270.0,bottom
D3_3,22.4,17.45,270.0,bottom
D3_2,37.4,17.45,270.0,bottom
D3,-22.6,17.45,270.0,bottom
F1_5,21.85,7.5,180.0,top
F1_4,-23.15,7.5,180.0,top
F1_3,36.85,7.5,180.0,top
F1_2,-8.15,7.5,180.0,top
F1,6.85,7.5,180.0,top
H1_5,17.0,29.0,0.0,top
H1_4,-13.0,29.0,0.0,top
H1_3,32.0,29.0,0.0,top
H1_2,2.0,29.0,0.0,top
H1,-28.0,29.0,0.0,top
H2_5,43.0,7.0,0.0,top
H2_4,-17.0,7.0,0.0,top
H2_3,13.0,7.0,0.0,top
H2_2,-2.0,7.0,0.0,top
H2,28.0,7.0,0.0,top
H3_5,-2.0,29.0,0.0,top
H3_4,-17.0,29.0,0.0,top
H3_3,43.0,29.0,0.0,top
H3_2,13.0,29.0,0.0,top
H3,28.0,29.0,0.0,top
H4_5,17.0,7.0,0.0,top
H4_4,-13.0,7.0,0.0,top
H4_3,-28.0,7.0,0.0,top
H4_2,2.0,7.0,0.0,top
H4,32.0,7.0,0.0,top
J1_5,37.5,3.7225,0.0,top
J1_4,7.5,3.7225,0.0,top
J1_3,-22.5,3.7225,0.0,top
J1_2,-7.5,3.7225,0.0,top
J1,22.5,3.7225,0.0,top
L1_5,19.113538,13.2,90.0,top
L1_4,-10.886462,13.2,90.0,top
L1_3,4.113538,13.2,90.0,top
L1_2,-25.886462,13.2,90.0,top
L1,34.113538,13.2,90.0,top
R1_5,-4.7,9.85,90.0,top
R1_4,40.3,9.85,90.0,top
R1_3,10.3,9.85,90.0,top
R1_2,25.3,9.85,90.0,top
R1,-19.7,9.85,90.0,top
R10_5,-13.0,11.75,90.0,top
R10_4,-28.0,11.75,90.0,top
R10_3,2.0,11.75,90.0,top
R10_2,32.0,11.75,90.0,top
R10,17.0,11.75,90.0,top
R2_5,-5.75,9.85,270.0,top
R2_4,24.25,9.85,270.0,top
R2_3,-20.75,9.85,270.0,top
R2_2,39.25,9.85,270.0,top
R2,9.25,9.85,270.0,top
R3_5,-21.8,9.85,270.0,top
R3_4,8.2,9.85,270.0,top
R3_3,23.2,9.85,270.0,top
R3_2,-6.8,9.85,270.0,top
R3,38.2,9.85,270.0,top
R4_5,22.0,29.8,180.0,top
R4_4,-23.0,29.8,180.0,top
R4_3,7.0,29.8,180.0,top
R4_2,-8.0,29.8,180.0,top
R4,37.0,29.8,180.0,top
R5_5,8.6,25.25,180.0,top
R5_4,-6.4,25.25,180.0,top
R5_3,23.6,25.25,180.0,top
R5_2,38.6,25.25,180.0,top
R5,-21.4,25.25,180.0,top
R6_5,-16.7,11.55,270.0,top
R6_4,28.3,11.55,270.0,top
R6_3,-1.7,11.55,270.0,top
R6_2,13.3,11.55,270.0,top
R6,43.3,11.55,270.0,top
R7_5,17.0,21.65,90.0,top
R7_4,-28.0,21.65,90.0,top
R7_3,2.0,21.65,90.0,top
R7_2,-13.0,21.65,90.0,top
R7,32.0,21.65,90.0,top
TP1_5,-22.5,24.0,180.0,bottom
TP1_4,37.5,24.0,180.0,bottom
TP1_3,7.5,24.0,180.0,bottom
TP1_2,-7.5,24.0,180.0,bottom
TP1,22.5,24.0,180.0,bottom
U1_5,-3.432132,13.7,180.0,top
U1_4,41.567868,13.7,180.0,top
U1_3,11.567868,13.7,180.0,top
U1_2,-18.432132,13.7,180.0,top
U1,26.567868,13.7,180.0,top
U2_5,-7.4,19.95,180.0,top
U2_4,7.6,19.95,180.0,top
U2_3,22.6,19.95,180.0,top
U2_2,-22.4,19.95,180.0,top
U2,37.6,19.95,180.0,top
U4_5,-24.1375,27.15,90.0,top
U4_4,-9.1375,27.15,90.0,top
U4_3,35.8625,27.15,90.0,top
U4_2,5.8625,27.15,90.0,top
U4,20.8625,27.15,90.0,top
U5_5,35.7,9.7625,180.0,top
U5_4,20.7,9.7625,180.0,top
U5_3,5.7,9.7625,180.0,top
U5_2,-24.3,9.7625,180.0,top
U5,-9.3,9.7625,180.0,top
Y1_5,-5.8,27.5,90.0,top
Y1_4,-20.8,27.5,90.0,top
Y1_3,9.2,27.5,90.0,top
Y1_2,24.2,27.5,90.0,top
Y1,39.2,27.5,90.0,top
