Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,C_0402_4.7uF_6.3V_X5R,
"C11, C12, C14, C15, C18, C19, C6, C7",0402,8,C_0402_100nF_10V_X7R,
"C13, C16",0402,2,C_0402_15pF_50V_C0G,
"C2, C5",0402,2,C_0402_10uF_10V_X5R,
"C20, C21, C22, C8",0402,4,C_0402_4.7uF_10V_X5R,
C3,0402,1,C_0402_1uF_10V_X5R,
C4,0402,1,C_0402_1pF_50V_C0G,
"D1, D2",0402,2,TPESD0402G05V,
D3,0402,1,NCD0402B1,
F1,0402,1,BSMD0402L-020,
"H1, H2, H3, H4",MountingHole-M1.4,4,MountingHole_Pad,
J1,GT-USB-8016A,1,GT-USB-8016A,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_2_Open,
L1,LT_L0806,1,AOTA-B201610S3R3-101-T,
R1,0402,1,R_0402_5.1K_5%,
R10,0402,1,R_0402_33_5%,
"R2, R3, R4",0402,3,R_0402_27_5%,
"R5, R6",0402,2,R_0402_1K_5%,
R7,0402,1,R_0402_470_5%,
U1,USON8-2x3mm-EP0.2x1.6mm,1,ZD25WQ32CEIGR,
U2,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,
U4,SOT-23-6,1,TTP223_SOT23-6,
U5,SOT-23,1,662K,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,ABM8-272-T3,
