Designator,Mid X,Mid Y,Rotation,Layer
C1,5.8,11.275,90.0,top
C11,2.0,22.8,90.0,top
C12,13.0,22.8,90.0,top
C13,12.8,25.0,270.0,top
C14,13.0,16.43,270.0,top
C15,2.0,18.85,270.0,top
C16,8.2,25.0,90.0,top
C18,13.0,20.8,90.0,top
C19,2.0,15.0,270.0,top
C2,7.0,11.3,90.0,top
C20,3.0,12.975,270.0,top
C21,6.0,25.0,270.0,top
C22,5.8,13.225,270.0,top
C3,10.7,11.3,180.0,top
C4,9.3,29.3,270.0,top
C5,3.3,9.9,90.0,top
C6,13.0,18.4,270.0,top
C7,2.0,16.9,270.0,top
C8,8.8,12.1,270.0,top
D1,9.6,9.8,90.0,top
D2,8.3,9.8,270.0,top
D3,7.5,18.8,0.0,bottom
F1,8.3,7.7,90.0,top
H1,2.0,29.0,0.0,top
H2,13.0,7.0,0.0,top
H3,13.0,29.0,0.0,top
H4,2.0,7.0,0.0,top
J1,7.5,3.7225,0.0,top
L1,4.413538,12.775,90.0,top
R1,10.6,9.8,90.0,top
R10,2.0,12.975,90.0,top
R2,10.5,7.8,270.0,top
R3,9.4,7.81,270.0,top
R4,9.8,27.7,180.0,top
R5,7.1,25.0,90.0,top
R6,12.6,11.3,0.0,top
R7,2.0,20.8,90.0,top
TP1,7.5,24.0,180.0,bottom
U1,11.467868,12.925,180.0,top
U2,7.5,19.1,180.0,top
U4,6.6,28.6,0.0,top
U5,5.8,8.4,180.0,top
Y1,10.5,25.5,180.0,top
